GO cellular component complete	Arabidopsis thaliana - REFLIST (27430)	upload_1 (1387)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
envelope (GO:0031975)	1283	34	64,87	-	,52	4,01E-05	1,12E-03
organelle envelope (GO:0031967)	1283	34	64,87	-	,52	4,01E-05	1,09E-03
chloroplast stroma (GO:0009570)	735	19	37,17	-	,51	1,81E-03	2,78E-02
Golgi apparatus (GO:0005794)	1179	30	59,62	-	,50	3,49E-05	1,00E-03
plastid stroma (GO:0009532)	751	19	37,97	-	,50	1,12E-03	1,75E-02
intracellular non-membrane-bounded organelle (GO:0043232)	1702	34	86,06	-	,40	2,06E-10	1,42E-08
non-membrane-bounded organelle (GO:0043228)	1702	34	86,06	-	,40	2,06E-10	1,33E-08
mitochondrial membrane (GO:0031966)	321	4	16,23	-	,25	9,32E-04	1,48E-02
organelle inner membrane (GO:0019866)	324	4	16,38	-	,24	6,46E-04	1,19E-02
nucleolus (GO:0005730)	502	6	25,38	-	,24	1,32E-05	4,87E-04
mitochondrial envelope (GO:0005740)	338	4	17,09	-	,23	4,86E-04	9,85E-03
protein-containing complex (GO:0032991)	3094	36	156,45	-	,23	3,34E-32	3,45E-29
nuclear protein-containing complex (GO:0140513)	915	10	46,27	-	,22	3,50E-10	2,13E-08
transferase complex (GO:1990234)	739	8	37,37	-	,21	1,77E-08	9,13E-07
cytoskeleton (GO:0005856)	371	4	18,76	-	,21	1,28E-04	3,31E-03
trans-Golgi network (GO:0005802)	288	3	14,56	-	,21	7,78E-04	1,39E-02
intracellular organelle lumen (GO:0070013)	1154	12	58,35	-	,21	4,15E-13	4,28E-11
membrane-enclosed lumen (GO:0031974)	1154	12	58,35	-	,21	4,15E-13	3,89E-11
organelle lumen (GO:0043233)	1154	12	58,35	-	,21	4,15E-13	3,57E-11
catalytic complex (GO:1902494)	1354	14	68,47	-	,20	2,61E-15	3,37E-13
cytosolic ribosome (GO:0022626)	294	3	14,87	-	,20	5,44E-04	1,06E-02
membrane protein complex (GO:0098796)	608	6	30,74	-	,20	1,65E-07	7,74E-06
supramolecular complex (GO:0099080)	309	3	15,62	-	,19	2,73E-04	6,00E-03
endosome (GO:0005768)	414	4	20,93	-	,19	2,41E-05	7,79E-04
intracellular protein-containing complex (GO:0140535)	744	7	37,62	-	,19	3,65E-09	2,09E-07
chromosome (GO:0005694)	361	3	18,25	-	,16	3,46E-05	1,02E-03
transferase complex, transferring phosphorus-containing groups (GO:0061695)	242	2	12,24	-	,16	8,36E-04	1,46E-02
Golgi apparatus subcompartment (GO:0098791)	366	3	18,51	-	,16	2,41E-05	8,03E-04
cullin-RING ubiquitin ligase complex (GO:0031461)	244	2	12,34	-	,16	8,38E-04	1,44E-02
mitochondrial inner membrane (GO:0005743)	255	2	12,89	-	,16	6,00E-04	1,13E-02
ribosome (GO:0005840)	397	3	20,07	-	,15	8,76E-06	3,48E-04
mitochondrial protein-containing complex (GO:0098798)	268	2	13,55	-	,15	2,89E-04	6,23E-03
nuclear lumen (GO:0031981)	976	7	49,35	-	,14	1,73E-13	1,99E-11
ubiquitin ligase complex (GO:0000151)	331	2	16,74	-	,12	2,46E-05	7,70E-04
ribonucleoprotein complex (GO:1990904)	692	4	34,99	-	,11	1,29E-10	9,49E-09
microtubule (GO:0005874)	192	1	9,71	-	,10	1,84E-03	2,80E-02
supramolecular polymer (GO:0099081)	208	1	10,52	-	,10	8,76E-04	1,48E-02
polymeric cytoskeletal fiber (GO:0099513)	208	1	10,52	-	,10	8,76E-04	1,46E-02
supramolecular fiber (GO:0099512)	208	1	10,52	-	,10	8,76E-04	1,44E-02
microtubule cytoskeleton (GO:0015630)	280	1	14,16	-	,07	2,99E-05	9,10E-04
nucleoplasm (GO:0005654)	445	1	22,50	-	,04	9,64E-09	5,24E-07
cytosolic large ribosomal subunit (GO:0022625)	136	0	6,88	-	 < 0,01	2,06E-03	3,09E-02
Golgi stack (GO:0005795)	197	0	9,96	-	 < 0,01	1,40E-04	3,52E-03
DNA-directed RNA polymerase complex (GO:0000428)	127	0	6,42	-	 < 0,01	3,06E-03	4,45E-02
small ribosomal subunit (GO:0015935)	132	0	6,67	-	 < 0,01	3,22E-03	4,55E-02
large ribosomal subunit (GO:0015934)	187	0	9,46	-	 < 0,01	1,99E-04	4,56E-03
ribosomal subunit (GO:0044391)	318	0	16,08	-	 < 0,01	2,32E-07	1,04E-05
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	131	0	6,62	-	 < 0,01	3,16E-03	4,54E-02
Golgi cisterna (GO:0031985)	188	0	9,51	-	 < 0,01	2,02E-04	4,55E-03
RNA polymerase complex (GO:0030880)	134	0	6,78	-	 < 0,01	3,36E-03	4,69E-02
spliceosomal complex (GO:0005681)	169	0	8,55	-	 < 0,01	4,26E-04	8,80E-03
