GO biological process complete	Arabidopsis thaliana - REFLIST (27430)	upload_1 (1387)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
lipid biosynthetic process (GO:0008610)	769	74	38,88	+	1,90	7,12E-07	4,23E-05
monocarboxylic acid metabolic process (GO:0032787)	655	63	33,12	+	1,90	5,17E-06	2,42E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	2487	239	125,76	+	1,90	2,38E-20	7,38E-18
response to oxygen-containing compound (GO:1901700)	3087	295	156,09	+	1,89	3,76E-25	2,76E-22
response to external stimulus (GO:0009605)	2967	283	150,03	+	1,89	5,76E-24	2,82E-21
organic hydroxy compound metabolic process (GO:1901615)	389	37	19,67	+	1,88	5,48E-04	1,36E-02
response to water deprivation (GO:0009414)	1000	95	50,57	+	1,88	3,14E-08	2,50E-06
cellular response to lipid (GO:0071396)	527	50	26,65	+	1,88	6,99E-05	2,35E-03
organic acid biosynthetic process (GO:0016053)	704	66	35,60	+	1,85	7,20E-06	3,23E-04
response to water (GO:0009415)	1073	100	54,26	+	1,84	2,80E-08	2,32E-06
response to acid chemical (GO:0001101)	1106	103	55,92	+	1,84	1,93E-08	1,75E-06
defense response to other organism (GO:0098542)	2116	197	107,00	+	1,84	2,03E-15	4,98E-13
defense response (GO:0006952)	2441	226	123,43	+	1,83	1,88E-17	4,81E-15
cellular response to hormone stimulus (GO:0032870)	1158	107	58,55	+	1,83	1,28E-08	1,23E-06
carboxylic acid metabolic process (GO:0019752)	1537	142	77,72	+	1,83	4,50E-11	7,15E-09
cellular lipid metabolic process (GO:0044255)	975	90	49,30	+	1,83	2,48E-07	1,64E-05
cellular response to endogenous stimulus (GO:0071495)	1194	109	60,37	+	1,81	1,94E-08	1,73E-06
oxoacid metabolic process (GO:0043436)	1953	178	98,75	+	1,80	3,38E-13	6,63E-11
response to red or far red light (GO:0009639)	375	34	18,96	+	1,79	2,22E-03	4,47E-02
lipid metabolic process (GO:0006629)	1287	116	65,08	+	1,78	1,34E-08	1,28E-06
organic acid metabolic process (GO:0006082)	2088	187	105,58	+	1,77	2,72E-13	5,52E-11
response to temperature stimulus (GO:0009266)	866	77	43,79	+	1,76	6,19E-06	2,85E-04
response to chemical (GO:0042221)	5053	449	255,51	+	1,76	1,25E-33	1,23E-30
polysaccharide metabolic process (GO:0005976)	495	43	25,03	+	1,72	1,47E-03	3,19E-02
small molecule biosynthetic process (GO:0044283)	898	78	45,41	+	1,72	1,25E-05	4,86E-04
response to organonitrogen compound (GO:0010243)	648	56	32,77	+	1,71	2,37E-04	6,63E-03
carbohydrate metabolic process (GO:0005975)	1065	91	53,85	+	1,69	4,38E-06	2,11E-04
response to stress (GO:0006950)	5286	443	267,29	+	1,66	1,21E-27	1,02E-24
response to nitrogen compound (GO:1901698)	790	66	39,95	+	1,65	1,75E-04	5,16E-03
response to abiotic stimulus (GO:0009628)	4114	343	208,02	+	1,65	4,60E-20	1,35E-17
cellular response to oxygen-containing compound (GO:1901701)	1140	95	57,64	+	1,65	6,47E-06	2,95E-04
cellular response to organic substance (GO:0071310)	1550	129	78,38	+	1,65	1,41E-07	1,04E-05
cellular response to chemical stimulus (GO:0070887)	2047	170	103,51	+	1,64	1,18E-09	1,47E-07
response to osmotic stress (GO:0006970)	894	74	45,21	+	1,64	8,96E-05	2,92E-03
phyllome development (GO:0048827)	714	59	36,10	+	1,63	6,01E-04	1,46E-02
response to salt stress (GO:0009651)	622	51	31,45	+	1,62	1,37E-03	3,01E-02
response to light stimulus (GO:0009416)	2003	164	101,28	+	1,62	5,64E-09	5,93E-07
cell wall organization or biogenesis (GO:0071554)	967	79	48,90	+	1,62	8,68E-05	2,86E-03
response to radiation (GO:0009314)	2045	166	103,41	+	1,61	7,84E-09	7,82E-07
regulation of response to stimulus (GO:0048583)	1336	108	67,55	+	1,60	5,07E-06	2,39E-04
small molecule metabolic process (GO:0044281)	2857	225	144,46	+	1,56	1,17E-10	1,76E-08
response to stimulus (GO:0050896)	9304	729	470,46	+	1,55	1,26E-43	7,40E-40
cell communication (GO:0007154)	2688	201	135,92	+	1,48	7,33E-08	5,60E-06
response to inorganic substance (GO:0010035)	2111	155	106,74	+	1,45	8,06E-06	3,44E-04
signaling (GO:0023052)	2474	178	125,10	+	1,42	4,59E-06	2,19E-04
signal transduction (GO:0007165)	2411	173	121,91	+	1,42	8,75E-06	3,63E-04
regulation of DNA-templated transcription (GO:0006355)	2184	153	110,43	+	1,39	9,91E-05	3,19E-03
regulation of nucleic acid-templated transcription (GO:1903506)	2185	153	110,48	+	1,38	9,95E-05	3,18E-03
regulation of RNA biosynthetic process (GO:2001141)	2187	153	110,59	+	1,38	1,00E-04	3,19E-03
anatomical structure morphogenesis (GO:0009653)	1587	109	80,25	+	1,36	2,30E-03	4,59E-02
cellular response to stimulus (GO:0051716)	3873	263	195,84	+	1,34	1,31E-06	7,39E-05
regulation of RNA metabolic process (GO:0051252)	2314	157	117,01	+	1,34	3,23E-04	8,57E-03
plant organ development (GO:0099402)	1972	133	99,71	+	1,33	1,23E-03	2,74E-02
regulation of biosynthetic process (GO:0009889)	2603	174	131,62	+	1,32	2,70E-04	7,43E-03
regulation of macromolecule biosynthetic process (GO:0010556)	2366	156	119,64	+	1,30	1,09E-03	2,47E-02
regulation of cellular biosynthetic process (GO:0031326)	2547	167	128,79	+	1,30	9,53E-04	2,19E-02
regulation of nucleobase-containing compound metabolic process (GO:0019219)	2449	160	123,83	+	1,29	1,30E-03	2,89E-02
biological regulation (GO:0065007)	8223	484	415,80	+	1,16	1,24E-04	3,87E-03
regulation of biological process (GO:0050789)	7518	434	380,15	+	1,14	1,86E-03	3,93E-02
nitrogen compound metabolic process (GO:0006807)	7100	263	359,01	-	,73	3,35E-09	3,79E-07
organic cyclic compound metabolic process (GO:1901360)	3128	115	158,17	-	,73	2,48E-04	6,89E-03
cellular component organization (GO:0016043)	2847	101	143,96	-	,70	1,32E-04	4,05E-03
cellular component organization or biogenesis (GO:0071840)	3618	125	182,94	-	,68	2,90E-06	1,47E-04
protein modification process (GO:0036211)	2659	89	134,45	-	,66	2,38E-05	8,61E-04
cellular aromatic compound metabolic process (GO:0006725)	3016	99	152,50	-	,65	2,47E-06	1,33E-04
negative regulation of biological process (GO:0048519)	1862	59	94,15	-	,63	1,09E-04	3,43E-03
organonitrogen compound biosynthetic process (GO:1901566)	1431	45	72,36	-	,62	7,24E-04	1,72E-02
negative regulation of cellular process (GO:0048523)	1132	35	57,24	-	,61	2,08E-03	4,21E-02
macromolecule modification (GO:0043412)	3030	90	153,21	-	,59	1,65E-08	1,51E-06
seed development (GO:0048316)	1287	38	65,08	-	,58	3,73E-04	9,67E-03
heterocycle metabolic process (GO:0046483)	2883	85	145,78	-	,58	2,93E-08	2,39E-06
fruit development (GO:0010154)	1338	39	67,66	-	,58	2,23E-04	6,31E-03
macromolecule metabolic process (GO:0043170)	5988	174	302,78	-	,57	4,08E-18	1,14E-15
protein metabolic process (GO:0019538)	3800	106	192,15	-	,55	2,05E-12	3,78E-10
protein modification by small protein conjugation (GO:0032446)	753	20	38,08	-	,53	2,08E-03	4,22E-02
cellular nitrogen compound metabolic process (GO:0034641)	3240	83	163,83	-	,51	8,62E-13	1,64E-10
cellular macromolecule catabolic process (GO:0044265)	711	18	35,95	-	,50	1,53E-03	3,27E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1309	33	66,19	-	,50	1,07E-05	4,36E-04
negative regulation of metabolic process (GO:0009892)	1158	28	58,55	-	,48	1,55E-05	5,95E-04
protein modification by small protein conjugation or removal (GO:0070647)	858	20	43,38	-	,46	1,51E-04	4,54E-03
cellular amide metabolic process (GO:0043603)	733	15	37,06	-	,40	8,56E-05	2,83E-03
proteolysis (GO:0006508)	881	18	44,55	-	,40	1,16E-05	4,59E-04
nitrogen compound transport (GO:0071705)	850	17	42,98	-	,40	1,19E-05	4,65E-04
nucleobase-containing compound biosynthetic process (GO:0034654)	504	10	25,48	-	,39	1,14E-03	2,57E-02
proteolysis involved in protein catabolic process (GO:0051603)	638	12	32,26	-	,37	8,76E-05	2,87E-03
embryo development ending in seed dormancy (GO:0009793)	693	13	35,04	-	,37	3,75E-05	1,30E-03
cell cycle process (GO:0022402)	593	11	29,99	-	,37	1,56E-04	4,68E-03
protein catabolic process (GO:0030163)	711	13	35,95	-	,36	2,11E-05	7,73E-04
embryo development (GO:0009790)	777	14	39,29	-	,36	6,76E-06	3,06E-04
organelle organization (GO:0006996)	1664	29	84,14	-	,34	4,62E-12	8,00E-10
cellular macromolecule metabolic process (GO:0044260)	2424	41	122,57	-	,33	6,92E-18	1,85E-15
regulation of protein metabolic process (GO:0051246)	423	7	21,39	-	,33	6,10E-04	1,48E-02
cell cycle (GO:0007049)	671	11	33,93	-	,32	1,12E-05	4,45E-04
macromolecule biosynthetic process (GO:0009059)	1285	21	64,98	-	,32	4,76E-10	6,66E-08
cellular localization (GO:0051641)	1150	17	58,15	-	,29	4,88E-10	6,68E-08
plastid organization (GO:0009657)	342	5	17,29	-	,29	1,39E-03	3,04E-02
cellular macromolecule localization (GO:0070727)	823	12	41,62	-	,29	1,65E-07	1,16E-05
negative regulation of gene expression (GO:0010629)	417	6	21,09	-	,28	3,23E-04	8,59E-03
meiotic cell cycle process (GO:1903046)	288	4	14,56	-	,27	2,34E-03	4,65E-02
nucleobase-containing compound metabolic process (GO:0006139)	2274	31	114,98	-	,27	1,09E-20	4,58E-18
peptide metabolic process (GO:0006518)	622	8	31,45	-	,25	1,81E-06	9,97E-05
meiotic cell cycle (GO:0051321)	320	4	16,18	-	,25	9,22E-04	2,13E-02
RNA metabolic process (GO:0016070)	1389	17	70,23	-	,24	5,23E-14	1,10E-11
organophosphate biosynthetic process (GO:0090407)	359	4	18,15	-	,22	1,73E-04	5,13E-03
membrane organization (GO:0061024)	271	3	13,70	-	,22	1,52E-03	3,25E-02
vesicle-mediated transport (GO:0016192)	543	6	27,46	-	,22	2,50E-06	1,33E-04
ubiquitin-dependent protein catabolic process (GO:0006511)	551	6	27,86	-	,22	1,78E-06	9,99E-05
nucleic acid metabolic process (GO:0090304)	1876	20	94,86	-	,21	1,11E-20	4,34E-18
modification-dependent protein catabolic process (GO:0019941)	565	6	28,57	-	,21	8,92E-07	5,25E-05
modification-dependent macromolecule catabolic process (GO:0043632)	577	6	29,18	-	,21	6,57E-07	3,99E-05
protein localization (GO:0008104)	785	8	39,69	-	,20	3,39E-09	3,77E-07
amide biosynthetic process (GO:0043604)	605	6	30,59	-	,20	1,63E-07	1,16E-05
cytoskeleton organization (GO:0007010)	312	3	15,78	-	,19	2,78E-04	7,61E-03
intracellular transport (GO:0046907)	732	7	37,01	-	,19	4,95E-09	5,39E-07
establishment of localization in cell (GO:0051649)	779	7	39,39	-	,18	6,11E-10	7,99E-08
cellular macromolecule biosynthetic process (GO:0034645)	947	8	47,89	-	,17	3,03E-12	5,40E-10
gene expression (GO:0010467)	1714	14	86,67	-	,16	4,77E-22	2,16E-19
establishment of protein localization to organelle (GO:0072594)	274	2	13,85	-	,14	3,05E-04	8,21E-03
peptidyl-amino acid modification (GO:0018193)	411	3	20,78	-	,14	4,18E-06	2,03E-04
establishment of protein localization (GO:0045184)	569	4	28,77	-	,14	3,00E-08	2,42E-06
mRNA processing (GO:0006397)	334	2	16,89	-	,12	1,63E-05	6,23E-04
DNA repair (GO:0006281)	337	2	17,04	-	,12	1,66E-05	6,27E-04
DNA metabolic process (GO:0006259)	528	3	26,70	-	,11	2,74E-08	2,30E-06
microtubule cytoskeleton organization (GO:0000226)	178	1	9,00	-	,11	2,50E-03	4,94E-02
organelle assembly (GO:0070925)	178	1	9,00	-	,11	2,50E-03	4,92E-02
protein localization to organelle (GO:0033365)	370	2	18,71	-	,11	3,88E-06	1,92E-04
protein transport (GO:0015031)	557	3	28,16	-	,11	6,07E-09	6,26E-07
cellular response to DNA damage stimulus (GO:0006974)	375	2	18,96	-	,11	2,63E-06	1,37E-04
Golgi vesicle transport (GO:0048193)	195	1	9,86	-	,10	1,20E-03	2,69E-02
histone modification (GO:0016570)	209	1	10,57	-	,09	8,93E-04	2,07E-02
organelle fission (GO:0048285)	210	1	10,62	-	,09	5,70E-04	1,40E-02
ribonucleoprotein complex biogenesis (GO:0022613)	445	2	22,50	-	,09	1,44E-07	1,04E-05
protein targeting (GO:0006605)	233	1	11,78	-	,08	2,91E-04	7,93E-03
microtubule-based process (GO:0007017)	233	1	11,78	-	,08	2,91E-04	7,90E-03
regulation of cell cycle (GO:0051726)	246	1	12,44	-	,08	1,31E-04	4,04E-03
intracellular protein transport (GO:0006886)	496	2	25,08	-	,08	9,96E-09	9,77E-07
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	265	1	13,40	-	,07	6,48E-05	2,19E-03
RNA processing (GO:0006396)	869	3	43,94	-	,07	3,70E-15	8,72E-13
proteasomal protein catabolic process (GO:0010498)	299	1	15,12	-	,07	9,24E-06	3,80E-04
ribosome biogenesis (GO:0042254)	370	1	18,71	-	,05	4,78E-07	3,06E-05
translation (GO:0006412)	538	1	27,20	-	,04	1,47E-10	2,16E-08
peptide biosynthetic process (GO:0043043)	543	1	27,46	-	,04	9,45E-11	1,46E-08
RNA modification (GO:0009451)	301	0	15,22	-	 < 0,01	5,12E-07	3,24E-05
mitochondrion organization (GO:0007005)	192	0	9,71	-	 < 0,01	1,29E-04	4,01E-03
gene silencing by RNA (GO:0031047)	135	0	6,83	-	 < 0,01	2,06E-03	4,19E-02
tRNA metabolic process (GO:0006399)	190	0	9,61	-	 < 0,01	1,29E-04	4,01E-03
rRNA processing (GO:0006364)	271	0	13,70	-	 < 0,01	2,49E-06	1,33E-04
rRNA metabolic process (GO:0016072)	288	0	14,56	-	 < 0,01	1,14E-06	6,51E-05
organelle localization (GO:0051640)	158	0	7,99	-	 < 0,01	1,03E-03	2,34E-02
ncRNA metabolic process (GO:0034660)	538	0	27,20	-	 < 0,01	5,76E-12	9,68E-10
RNA splicing (GO:0008380)	314	0	15,88	-	 < 0,01	3,60E-07	2,35E-05
regulation of cell cycle process (GO:0010564)	144	0	7,28	-	 < 0,01	1,39E-03	3,04E-02
ncRNA processing (GO:0034470)	449	0	22,70	-	 < 0,01	4,34E-10	6,24E-08
